Supplier,Country,Category
Southco Fasteners,USA,Hardware
Space-Lok,USA,Fasteners
Stuart Industries,USA,Components
Sumitomo,Japan,Electrical
TA Aerospace,USA,Components
TE Connectivity,Switzerland,Connectors
"TPS Aviation, Inc.",USA,Distribution
Tri-Fitting Manufacturing,USA,Fittings
Triumph Aerostructures,USA,Wing Components
Triumph Group,USA,Structures/Systems
Twist-Tite Manufacturing,USA,Fasteners
"United Precision Products Co., Inc",USA,Components
Valley Todeco,USA,Seals
Wamco,USA,Distribution
"Zeus Industrial Products, Inc",USA,Tubing
Amglo,USA,Lighting
Apex Fasteners,USA,Fasteners
Associated Spring,USA,Springs
Aurora Bearing Company,USA,Bearings
Avibank,USA,Hardware
B&B Specialties,USA,Distribution
B&E Manufacturing,USA,Components
Bell-Memphis,USA,Components
Bergen Cable Technologies,USA,Cables
"BP Lubricants USA, Inc.",USA,Chemicals
Brennan Industries,USA,Fittings
Cam-Tech Industries,USA,Components
Chemetall,Germany,Chemicals
Collins Aerospace,USA,Avionics/Interiors
Coorstek,USA,Ceramics
Crouzet,France,Switches
Dow Performance Silicones,USA,Sealants
Eaton Aeroquip,USA,Fittings
Eaton/ITD - Souriau & Sunbank,USA,Connectors
ExxonMobil,USA,Chemicals
Fatigue Technologies,USA,Fasteners
FMH Aerospace Corp,USA,Components
General Electric Lighting,USA,Lighting
Gerard Daniel,USA,Mesh
GKN Aerospace,UK,Aerostructures
GKN Bandy Machining,UK,Components
Hexcel,USA,Composite Materials
Hydro Fitting Manufacturing,USA,Fittings
Ideal Fasteners,USA,Fasteners
Industrial Steel and Wire,USA,Materials
J&M Products,USA,Components
Korry Electronics,USA,Lighting Systems
"Lifeport, LLC.",USA,Components
Mac Fasteners,USA,Fasteners
MacLean-ESNA,USA,Fasteners
Meggitt Safety Systems,UK,Safety
Mep Ltd,UK,Components
Micro-Tronics,USA,Components
Monadnock Company,USA,Fasteners
Moog Inc.,USA,Flight Controls
New Hampshire Ball Bearings,USA,Bearings
New Metals,USA,Materials
North Safety,USA,Safety
NYCO,France,Fluids
Nylon Molding,USA,Plastics
Ott Brothers,USA,Hardware
Otto Engineering,USA,Switches
"Pacmet Aerospace, LLC",USA,Metals
Pamco,USA,Components
Parker Aerospace,USA,Fluid Systems
Permali,UK,Composites
Philips Lighting,Netherlands,Lighting
Precision Shapes,USA,Metals
Radio Components Corp.,USA,Electrical
RGI,USA,Components
Rudolf Wulfmeyer Aircraft,Germany,Components
RWG Frankenjura Industrie,Germany,Bearings
Safran,France,Landing Gear
Seal Dynamics,USA,Seals
Sekisui Aerospace,USA,Prepregs
Sesco Industries,USA,Coatings
Slabe Manufacturing,USA,Components
Sonic Industries,USA,Components
Sopoc,France,Components
Specline Inc,USA,Coatings
Square D (electrical),USA,Electrical
Staffall Inc,USA,Coatings
TFI,USA,Components
Trelleborg Sealing Solutions,Sweden,Seals
"Turbocombustor Technology, Inc. DBA Paradigm Precision",USA,Components
Veritiv Operating Company,USA,Distribution
West Coast Aerospace,USA,Distribution
Western Wire,USA,Cables
Woodward,USA,Fuel Systems
"A&B Aerospace, Inc.",USA,Components
"Aadox Manufacturing Co, Inc.",USA,Fasteners
Accurate Screw Machine,USA,Fasteners
"Ace Rubber Products, Inc.",USA,Seals
Acme Industrial Co.,USA,Components
Acra Manufacturing,USA,Components
Acufast Aircraft Products,USA,Fasteners
AdelWiggins Group,USA,Fasteners
Advanced Products & Systems,USA,Components
Aero Electric,USA,Electrical
Aero-Tech Fastener Supply,USA,Fasteners
"Aerofit, Inc.",USA,Fittings
Alinabal,USA,Seals
All Power Manufacturing,USA,Components
Allan Aircraft Supply Company,USA,Distribution
Allen Aircraft Products,USA,Fasteners
Arvan,USA,Components
ATD Precision Manufacturing LLC,USA,Components
Av-Dec,USA,Components
Barden Corporation,UK,Bearings
Bernic Screw,USA,Fasteners
Berry Plastics,USA,Plastics
Breeze Industries,USA,Hardware
Carlisle Interconnect Technologies,USA,Cables
Click Bond,USA,Fasteners
"D.W. Mack Co., Inc.",USA,Fasteners
"Danfoss Power Solutions II, LLC",USA,Hydraulics
DME Interconnect,USA,Connectors
Eastman,USA,Chemicals
Espa,Spain,Components
Europa Fasteners (EUFA),Germany,Fasteners
FAG Bearings Limited,Germany,Bearings
Fastener Innovation Technology (FIT),USA,Fasteners
Freudenberg - NOK,USA,Seals
Freudenberg Sealing Technologies,Germany,Seals
Galaxy Bearings,USA,Bearings
GE Aerospace,USA,Engines
General Ecology,USA,Filters
Genie Fasteners,USA,Fasteners
Heim Bearings Company,USA,Bearings
Hellermann Tyton,UK,Cable Mgmt
Henkel,Germany,Adhesives
HiRel Connectors,USA,Connectors
HK Fittings,USA,Fittings
Houston Precision Fasteners,USA,Fasteners
Howard Leight,USA,Safety
Hutchinson Aerospace & Industry Inc.,France,Seals
ITW,USA,Fasteners
Kato Fastening Systems,USA,Fasteners
Kirkhill-TA Company,USA,Seals
LaDeau Manufacturing,USA,Components
Ledvance,Germany,Lighting
Lee Company,USA,Valves
Liebherr,Switzerland,Landing Gear
Linread,UK,Seals
Littlefuse,USA,Fuses
Long-Lok,USA,Fasteners
Loos & Company,USA,Cables
LTT Cannon LLC,USA,Connectors
M.R.L. Manufacturing,USA,Components
Maeder Aero,USA,Components
Mankiewicz Coating,Germany,Coatings
Meggitt,UK,Brakes/Sensors
Meriden Mfg,USA,Components
Minebea Company,Japan,Bearings
"Packaging Systems, Inc.",USA,Packaging
Paolo Astori,Italy,Fasteners
Parker Aerospace,USA,Fittings
PB Fasteners,USA,Fasteners
Perkins,UK,Engines
Proponent,USA,Distribution
Ray-O-Vac,USA,Batteries
Roland Distribution LLC,USA,Distribution
Saturn Fasteners,USA,Fasteners
Schaeffler Aerospace Canada Inc.,Canada,Bearings
Schneller,USA,Fabrics
Senior Aerospace BWT,UK,Tubing
Senior Aerospace Spencer,USA,Tubing
SFS Intec,Switzerland,Fasteners
Shaw Aero Devices,USA,Hardware
Shur-Lok,USA,Fasteners
Sloan,USA,Valves
Smalley Steel Ring Co,USA,Rings
Snap-On/ATI Distributor,USA,Tools
Socomore,France,Chemicals
Solutia Europe Bv,Netherlands,Materials
Solvay/Cytec Industries,Belgium,Composites
Stanmar Limited,Canada,Components
"Step'n Components, LLC",USA,Hardware
Superior Washer & Gasket,USA,Seals
Sycronis Aerospace,USA,Components
Thomas & Betts,USA,Electrical
Toray Composites (USA),USA,Carbon Fiber
Uvex,USA,Safety
Voss Industries,USA,Seals
W.S. Wilson Corp.,USA,Components
Western Filament,USA,Lighting
Young Engineers,USA,Components
Zodiac Services/ECE,France,Components
"3V Fasteners Company, Inc.",USA,Fasteners
Accurate Bushing Company,USA,Bearings
AeroShell,USA,Chemicals
AF Fasteners,USA,Fasteners
AkzoNobel,Netherlands,Coatings
Anatase,USA,Materials
Ancra,USA,Hardware
Biolink,USA,Materials
